Pointages AviMéca
t;x;y
s;m;m
0,000; 1,80E-1;-1,11E-1
0,067; 1,77E-1;-1,26E-1
0,133; 1,61E-1;-1,56E-1
0,200; 1,45E-1;-1,85E-1
0,267; 1,28E-1;-2,13E-1
0,333; 1,09E-1;-2,39E-1
0,400; 8,97E-2;-2,62E-1
0,467; 6,84E-2;-2,80E-1
0,533; 4,78E-2;-2,92E-1
0,600; 2,59E-2;-2,99E-1
0,667; 4,65E-3;-3,00E-1
0,733;-1,53E-2;-2,96E-1
0,800;-3,32E-2;-2,86E-1
0,867;-5,05E-2;-2,72E-1
0,933;-6,44E-2;-2,54E-1
1,000;-7,84E-2;-2,35E-1
1,067;-9,04E-2;-2,13E-1
1,133;-1,01E-1;-1,91E-1
1,200;-1,12E-1;-1,65E-1
1,267;-1,21E-1;-1,44E-1
1,333;-1,30E-1;-1,20E-1
1,400;-1,39E-1;-9,83E-2
1,467;-1,47E-1;-7,77E-2
1,533;-1,54E-1;-5,78E-2
